text,label
"Fort Vastenburg ini merupakan benteng peninggalan penjajah Belanda yang ada di kota solo.
Benteng ini dibangun sejak abad ke 18.
Kemarin pada saat kesana benteng ini ditutup dan tidak dapat masuk.
Sepertinya sekarang benteng ini sering sibuat untuk tempat pertunjukan konser2..

Benteng ini letaknya tidak jauh dari pasar gede solo. Jalan kaki sekitar 400m saja.

Sayangnya sepertinya kurang terawat...
Banyak sampah dimana2..
Sayang sekali padahal harusnya peninggalan sejarah seperti ini harus dirawat dan dijaga..",-1
"Kecewa berat karena jauh2 datang bersama keluarga ternyata air mancurnya tdk dinyalakan.
Katanya tiap berapa hari sekali nyalanya. Ya yg dari luar daerah mana tau. Jadwalnya pun tdk tau kapan aja, dan tdk pernah diupdate dimanapun jadwal menyalakan air mancurnya.
Harusnya saat weekend itu nyala karena momennya pas saat liburan. Jd saat liburan ke solo bisa skalian lihat air mancurnya.",-1
"Karena lokasi yg tepat di bantaran sungai jadi sangat rawan terutama saat hujan. Banjir dan longsor harus sangat diwaspadai. Tidak disarankan untuk anak anak dan lansia tanpa pengawasan.
Saat ini sedang dalam maintenance.. semoga kedepan bisa manfaat lagi untuk bermacam kegiatan",-1
,-1
"Reservasi nya yg retail selalu kalah dengan yg sewa.
Menanyakannya jauh2 hari, dijawab open reservasi tiap hari Senin.
Begitu hari Senin pagi2 ditanyakan jawabnya sudah disewa dlm 1hari itu.
Mending nggak usah buka reservasi umum kalo kalah terus sama yg sistem sewa.
Bikin kecewa saja...",-1
"Sorry to say, tapi yg menarik hanya duduk di kursi tingkat 2 bus. Penumpang berebutan ingin duduk diatas, alhasil bertukar tempat waktu rute balik walaupun sebagian tetap tidak mau gantian.

Kursi bus kotor, sebagian kondisinya rusak (sandaran tidak bisa ditegakkan). Banyak sampah di sela2 kursi. Dan didalam banyak nyamuk 🤣

Pemandu kurang komunikatif, hanya penjelasan singkat untuk bangunan bersejarah sepanjang jl slamet riyadi sampai dengan pasar besar. Sisanya hanya diam memegang mic. Bahkan tidak ada info saat berhenti di toko oleh2 baik mempersilahkan penumpang untuk turun maupun durasi berhentinya.

Yang sangat disayangkan lagi, berhenti di toko oleh2 batik/baju yg durasinya terlalu lama. Penumpang anak2 sebagian besar bosan dan mainan di lantai bus. Anakku sampai merengek minta pulang dan tidak menikmati sepanjang rute balik.

Sungguh disayangkan jadi perjalanan yg membosankan & tidak seru buat anak2. Semoga kedepannya bisa lebih baik lg.",-1
Tamané puaanaaas full..blm ada Tanaman utk keseimbangan Lingkungan,-1
"untuk penghijauan coba di kasih pohon"" yg bs brmanfaat sprti buah""an. kalo skarang tanaman di skitar bikin serem... dan sungai/kali nya jg butuh peremajaan.. tdk sprti parit",-1
"Bagus hanya saja kurang akses menuju lokasi, dan tidak ada petunjuk jalannya",-1
"Saat pertama kali datang sangat bagus, kedua kalinya ternyata masih tahap renovasi. Semoga lebih bagus lagi, yang saya sayangkan hanya pegawai perkir yang tidak provesional, mengatakan hanya boleh parkir di area depan, ternyata setelah kami banyak mobil yang bisa parkir di dalam. Kami harus jalan jauh .",-1
"Taman kota di tepi sungai Solo..
Ada tambahan baru berupa deck untuk selfie dan foto foto..
Secara keseluruhan kondisi taman memang kurang terawat baik....
View sungai dari sini juga biasa aja, tidak ada sesuatu yang menarik disini..
Kurang juga arena bermain untuk anak..",-1
