Rating,Description
5,"Ikut Kathina di Vihara Dhamma sundara^^

Viharanya bagus dan pengurusnya baik dan ramah..
Jadwal Pujabakti di Hari Minggu Jam 9.30 Pagi, Kamis Jam 7 malam."
5,"Tempatnya nampak sepi walaupun akan ada acara, namanya juga tempat ibadah..
Perlu diingat agar kita saling menjaga ketertiban apalagi ini adalah rumah ibadah jangan sampai kita yg berkunjung mengganggu ibadah,,
Menjaga adab dan sopan santun, ketika berkunjung usahakan untuk meminta ijin jika akan berswafoto,,
Tempatnya sangat nyaman, adem, yg menjaga pun sangat ramah terhadap pengunjung yg datang.. 😃"
5,"Tempatnya bagus dan rapih. Namun saat ke sana lagi perbaikan, saya ke sana mengantarkan kontingen dari Myanmar untuk beribadah. Tempatnya mudah dijangkau dan sangat baik. Walaupun saya seorang muslim, tapi saya diperlakukan dengan baik oleh para jemaah dari Vihara ini. Orang Myanmar pun menyukai tempat ini."
5,"Ini Rumah ibadah untuk Umat Budha, Tapi diperbolehkan untuk umum kok(semua etnis/suku/agama/ras) untuk berkunjung. Pemotretan mohon tanya ke Petugas yang ada,,disini juga jual buku2 umat Budha,,Ada kotak Dana juga bayar seikhlasnya,,Bagus tempatnya sejuk. Tapi karena sifat nya sakral,mohon diharapkan sopan dan tidak mengganggu orang yang ibadah."
3,"Untuk ibadah ckp kecil tp tempat luas..
Kesini pas lagi renov
Jd lumayan sepi.

Spot foto cm ga banyak cm segini aja"
5,"This Holly place awesome,  feels so peacefully,  so relax and first time in here I'm still unbelievable there is place like this in the middle of the town.

My friend told me that ""if you looking a good place for taking pictures and have a stories to tell.. Then go there""

Taraaaa and here we are...  (In the front of gate.. 🤣🤣),  knocking the gate and nobody comes out.. Hahahaha then some one came take us to come in, what a day...  So polite.. And humble..  Just like Indonesian People when they meet another people.

Inside you will saw a temple like in Thailand,  suddenly I forgot if I'm still in Indonesia ahahahahah.

I hope the senior (the humble man opened the gate) stay healthy,  happy,  and  wealthy.
Recommended place for looking beautiful temple in solo"
4,Tempat ibadah yang tenang yang ada ditengah kota Solo...bangunan depan cukup modern...disisi samping gedung ada kuil kecil mirip candi putih seperti di Thailand...dan kalau boleh dibilang saat anda berkunjung disini berasa seperti Solo rasa Thailand😁
5,Asri dan tenang untuk bersembahyang bagi umat Budha.
4,"Tempatnya bagus....
Nyaman. Enak buat nongkrong2. Cmn disini yg kurang
1. Tempat sampah.
Terlihat ta sedikit yg buang sampah di sungai dan saya perhatikan cmn ada beberapa tempat sampah. Jadi mungkin pengunjung malas mau buang sampah harus jalan dan nyari2 .

2. Kursinya dan meja
Klw bisa peletakan kursi dan meja jangan Deket sungai karena rawan tuh pengunjung buang sampah ke sungai. Selain itu spot duduk di dekat sungainya membuat orang yg ga kebagian tempat duduk ga bisa liat2 pemandangan sekitar sungai atau hanya pengen melihat2 ke arah sungainya.

Dan klw bisa tempat duduk nya ditambah.
Makasih"
5,"kalau sore cuacanya sangat enak buat bersantai sambil menikmati senja,apalagi banyak pepohonan,udaranya sejuk,dan juga ada kulinernya di samping bendungan,lumayan masuk cuma bayar parkir 3k"
5,"Taman Tirtonadi dekat terminal tentunya, lumayan buat nyore atau sekedar liat yg seger (pas teduh sih kalo panas panas banget). Kalo sore rame ada yg main skateboard juga trs ada wahana naik kapal di sungainya. nice"
