Rating,Review
1,dont bother the boardwalk is completely broken
1,minim tempah sampah minim nya kesadaran orang buang sampah tempatnya taman jadi kotor bgt banyak ulat bulu 
1,hotel cocok costumer business travelling ac gerah kamar wifi air panas mandi air minum ditaruh air galon dipasang tisu galon membersihkan hello bagaimana minumnya masuk kamar malam hari request breakfast dikirim jam 0630 mau checkout segera bekerja lewat jam 0630 breakfast dikirim telpon receptionist 8 kali mengangkat padahal hotelnya sangat sepi ditanya lobby eh ternyata jam 0630 petugas standbye capek deh hotel petugas pantesan hotel sangat sepi ramainya sama kawanan kera datang jam 0600 pagi terpaksa gerah kamar ac menutup jendela kamar jalan2 pagi kuatir keamanan sekawanan kera datang
1,mampir senin siang sepi sekali naik ojek jalan depan bayar 10k dilokasi pas ketemu yg jaga disilahkan masuk pengunjung pembangunannya benar2 rampung pedagang pertengahan jalan menuju lokasi sempat terpalang kayu2 yg sengaja diletakan penduduk sedikit kesalah pahaman pemerintah pengelola kalo menara tinggi jd objek yg menarik buat lihat kawasan mangrove jd tempat pemantauan akses terbuka baik amenitas perlu diperkuat
1,parkiran kok diluar taman janggal gak lho tanda buat parkiran kok gak dibuat ceroboh banget sore menjelang malam kalau cuma 12 motor kadang parkirnya ga nampak motoran speed 4050 kdg kalau lupa hampir kena
1,mungkin hari kurang bagus buat udah hujan air keruh hujan jalan licin banget ehh malah helm hilang parahh parkiran ga jagain apa gimana
1,salah satu taman ditengah kota tp kurang perhatian pemkot setempat banyak sarana permainan yg layak pakai smoga segera direvitalisi
1,kolam renang nya kotor banget kaya gak pernah diurus pegawai sana kolam renang nya urus
1,cukuik sakali ko sajo kamari 1 wahana 1 kepala wahana oke den manarimo untuak naiak 1 boomboom car mendampingi anak usia 7 tahun bali 2 tiket bia an sajo anak tu sorang anak 7 tahun padiaan naiak sorang jawab petugasnyo mah mah beko baabaa anak urang lai batangguangjawab wahana aneh dimadimanyo tampek wisata ado boomboom car 1 tiket untuak 1 boomboom car tu tiket den campak an dimuko petugas tu bia ilang 30ribu penting hati den sanang masuak lokasi 20ribu perkapalo parkir 10ribu lo ndak masalah den fasilitas kalah lo tampek wisata masuak 5 ribu wc dakek resto ateh jauah wahana mambayie pulo mushalla indak memadai kok ado review bintang nol den agiah mah
1,1layanan sangat ramah lokasi sewa ban yg ibu2 tua pakai kaca mata muka bopeng putih demoul bedaksangat kecewa pelayanan brtanya masalah pompa ban beliau banting2 ban mompa ban sewaan posisi buang muka jelek juteknya membelakangi sayabukan malah mau menyapa banting2 bannya semakin menjadi2terus tanya krna sy pengunjung berhak dong utk brtanya fasilitas keramah tamahanmaaf mbak bs pompa ban dijwabnya bnyak kerjaanoh jd gk bs mbakbukan gk bs mbak ban besar gini lama perasaan deh semua ban besarkalo mau dibayar y mompa y tinggal bilang aja gk usah mau marah2 sm pengunjungsaya pompa sendiri aja mbak bisaaku nih lg sibuk mbaknanti ajajawabnya sambillariterus sy diusirdisana pompa banamit2 deh cabang bayi punya karyawan kayak ginisdh 3 x sy brkunjung kesini si jutek tambah parah juteknyamashaa allahmikir deh kalau mau kesini lg ketemu si jutekpake hijab tp kasarsedih banget rasanya adh bayar mahal2 dimarah2 hnya krna masalah pimpa bangimana mau bnyakpengunjungkalo yg ditemui muka jutex pelayanan kayak gini allahampun deh sangat kecewa sekalisulit banget tuk dimaafkan 2semua wahana harusnya cat ulang biar lebih menarik krena saingan sdh bnyak lohdi tambah lg karyawan ban yg kasar pelayanannya
1,dulu gapernah dibenerin keramiknya uwa sampe jahit kakinya karna luka kena keramik sangat rekomended jgn kesini
1,rumah pohon rusaknggak layak pakaimushollah sama toilet terawat
1,menyengkan segar airnya jernih dingin cogan cogan ganteng
1,as a foreigner you pay 25 000 rupiah 10 000 for the locals and you have no explanations whatsoever at least in the water palace there are many guides who explain stuff and show you around here its just a big empty space the local people get tour guides though
1,kacau parah nyesel bgt kesini udah bayar 20korang parkir 2k tempatnya bener2 ga layak kunjungi udah terbengkalai ga terawat jalan ikutin terus sm penjual makanan disitu bikin risih nyesel bgt 42k ilang sia sia ga dpt apa2 kek serasa pergi tempat horor aja please yg mau kesini mikir 100x deh kacau bgt tempatnya tanggung jawabnya dong yg punya tempatnya kalo ga niat gausah buka deh
1,tempatnya membosankan petugasnya ramah robotnya cacat matanya putus tangannya putus menyeramkan tempatnya rasis benua afrika keretanya lambat mau masuk petugas marah marah jelas lampunya delay
1,menuju kesini jalan nya rusak hati2 naik mobil susah lebih baikenak naik sepeda motorsepeda pancal aja
1,kolam renang satu bulan tutup mainan perlu perawatan tempatnya dekat parkiran jadi kurang terawat
1,kolam kotor gak terawat tempat kotor pnjaga loket pelayanan jutekjudesketus gk jls kurang recomendd orang2 yg mau berlibur merifresh otak makin stres kalao liat pelayanan penjaga loket fasilitas sana
1,tempat wisata keluarga terletak pinggir jalan bukittinggipayakumbuh bangunan kelengkapan terlihat pengembangan dikelola baik petugas jaga loket tiket pintu masuk ramah menganggap pengunjung tamu mendatangkan uang waktu kesini petugas bahkan menipu mengatakan voucher berlaku fasilitasnya terkelola baik kolam renang kotor sarana permainan rusak tenda kotor toilet kurang bersih petugas kemanan staf siap membantu darurat direkomendasikan wisata keluarga bawa anakanak
1,per orang 20rb ga karcisnya jalan rusak banget kalo bawa kendaraan bukan buat offroad siap2 aja deh bawa kenang2an itung2 bayar buat nikmatin wahana jalan rusak gerbang berikutnya misal curug tracking kawah ratu bayar 20rborang kawah ratu parkirnya 10rbmotor ga karcis sepertinya parkir liar
1,curug bangun jalan tol akses jalan curug jadi gampang
1,tempat jelek air butek kuning lumpur parkir susah gak yg jyal makanan wc cuma 1 jorok jalan area taman jelek gak rekomended
1,mantap merebuskan telur waktu 20 menit matang sempurna sayang perubahan luapan air nya
1,sana tanggal 28 des 2018 ternyata pilihan beberapa gedung gedung 1 bayar 10korang isinya pameran lukisan lantai 1 lantai 2 lantai 3 melihat pemandangan tarifnya terlalu mahal yg menarik dilihat gedung 2 bayar 15koranglantai 3 lantai datang sepi sekali mungkin terlalu mahal kurang menarik jadi kurang pengunjung semoga diperbaiki isi biayanya lebih menarik pengunjung
1,umum inilah katakan penjaga taman sangat membingungkan taman negara masyarakat well dasarnya yg nilai warga pemerintah jadi otomatis bintang 1 overall publik jadi gak perlu jauh jauh kemari cari tempat
1,sangat jorok pengelola yg minta tiket per orang 10rb apa gk lama mah jadi tempat pembuangan akhir
1,sangat indah amansaat berliburan berakhir pekan bersama keluarga
1,bagus buahnya busuk busuk pohon keringgggggg jauhhhhh jalan rusakk diperhatikan lagiiii yg dr luar kota sangat kecewaaaa uang 50 ribu waktu terbuang sia sia
1,menjangkau lokasi sangat dekat kota palopo
1,taman dipinggir pantai padang kotor pasirnya coklat kurang terawat banyak orang jualan kalau malam
1,jutek banget bagian loket kasih uang 61000 kembalian 1000 entah kasih receh gimana aku sih masalah cuma dikembalikan 1000 kalo caranya beradab mana cara petugas loket megang uang kertas angkuh terkesan banyak duit olah uang receh gembiraloka sama sekali tukang parkir gantinya banyak preman parkir berperan watak pelayannya kayak gini bagusnya harga tiket turunkan jadi weekend 35000 weekday 25000
1,titik gmapsnya salah sebaiknya cek ignya utk tau alamat cottagenya
1,tempat terorganisir baik tiket masuk mahal tempat kotor bersama aitnya yabg keruh
1,sayang gk bs kasi bintang dibawah 1 masuk 8k 3tahun atas dapatnya cuma pekarangan doang parkir 10k lokasi sembrawut kolam masuk 30k tp gk worth it lah maen2an bayar lg dr luar keliatan bagus bgt hbs masuk lgsg pengen balik aja
1,kesana sabtu 11 mei 2024 baru jam 9 pagi terlalu rame buah nya kecil kecil besar besar mungkin panen duluan tempat masuk kebun menggelar buah besar besardengan harga 30 rb per kilo nya yg panen yg kecil kecil maundi bawa pulang timbang 30 rb per kilo nyabeli tiket 25 rb per orang kemudian pandu sampe lokasijalan sempit parkir sulitkalo mau beli saran mending beli pusat jangan lokasi pengalaman pusat lebih murah lengkapoleh lokasi petik apel lebih mahal pusat
1,banyak pengamen bikin risihmending suara bagus gitar fals suara fals
1,beli tiket 3 dikasih 6 tp disuruh tetep nombok tukang parkir gak sopan ditanyain karcis parkir malah songong ngomong nya parkir mahal dikasih 20rb gak dikembalikan gak worth it sih lebih baik tambah harga sedikit tp puas keluarga
1,camp mahal sewa tenda sama kasur hello kitty bantal selimut 300k 1 malam nego berkalikali harga normal katanya 400k500k udah sama kayak hotel pelayanannya kurang sampe yg disuruh angkat tenda yg luar dg alasan kalau yg didalam khusus tamu yg bawa tenda sendiri emangnya gk tamu kali yaa udah sewa mahal kebetulan bawa orang luar sampe teman bilang udah sewa mahal yg kerja capek pasang tenda akhirnya tanya petugasnya baru dipasangkannya nunggu maghrib sampe jam 9 an malam baru dipasang biaya masuk 40k per orang tempat nya lumayan bagus sih view pagi tepi danau yg cukup indah sewa tenda segitu gk sebanding rasanya pengalaman camp yg kurang menyenangkan
1,minimal jalan yg licin dekat wc umum ny sikat kalo gak licin kan biarpun byr parkir 5000 jg pengunjung ikhlas bayar udah goceng jalan kyk perosotan untung gak yg nyungsep
